latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.699997,-74.0,27.0,-18000,America/New_York,EST

time,weathercode (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (inch),snowfall_sum (inch),windspeed_10m_max (mp/h),windgusts_10m_max (mp/h)
2017-01-01,3,46.6,30.0,39.7,27.2,39.2,34.1,2017-01-01T07:18,2017-01-01T16:41,9.01,0.000,0.000,11.3,23.7
2017-01-02,53,40.3,29.4,35.9,25.3,32.8,29.8,2017-01-02T07:18,2017-01-02T16:42,1.00,0.136,0.000,9.8,18.3
2017-01-03,61,43.0,39.4,41.0,31.6,38.1,34.8,2017-01-03T07:18,2017-01-03T16:43,0.83,0.379,0.000,13.6,24.8
2017-01-04,51,50.3,31.2,41.9,24.9,42.6,36.5,2017-01-04T07:18,2017-01-04T16:43,4.58,0.012,0.000,14.8,29.8
2017-01-05,71,32.7,27.5,29.7,17.0,24.0,21.1,2017-01-05T07:18,2017-01-05T16:44,6.15,0.000,0.056,12.5,24.8
2017-01-06,73,32.9,24.3,29.2,18.3,24.8,22.4,2017-01-06T07:18,2017-01-06T16:45,6.99,0.000,0.746,6.3,14.8
2017-01-07,73,24.3,20.7,22.7,10.6,17.8,13.0,2017-01-07T07:18,2017-01-07T16:46,1.49,0.000,2.234,13.5,26.6
2017-01-08,3,22.3,9.7,16.1,4.3,13.1,8.4,2017-01-08T07:18,2017-01-08T16:47,9.40,0.000,0.000,13.9,28.0
2017-01-09,3,20.4,4.4,12.1,-3.1,11.6,4.7,2017-01-09T07:18,2017-01-09T16:48,8.41,0.000,0.000,7.5,12.8
2017-01-10,51,38.6,9.8,25.9,1.1,30.6,18.6,2017-01-10T07:17,2017-01-10T16:49,7.25,0.004,0.000,12.9,39.1
2017-01-11,61,49.9,37.7,42.6,31.4,40.0,36.3,2017-01-11T07:17,2017-01-11T16:50,8.71,0.244,0.000,16.2,37.6
